shift_bin,trial_count,mean_nps,std_nps,plasticity,stability,throughput,buffer_factor,preferred_strategy
0–0.3,27,0.5074,0.424,0.5833,0.5944,0.6333,1.33,High-Speed Parallel
0.3–0.6,37,0.5276,0.3606,0.5662,0.6176,0.6162,1.27,Interleaved Mini-Batch
0.6–0.9,24,0.5868,0.3973,0.5312,0.65,0.5812,1.38,Buffered Linear Ingestion
0.9–1.2,35,0.7112,0.3736,0.4314,0.7586,0.4814,1.52,Buffered Linear Ingestion
1.2–1.5,37,0.5889,0.4202,0.5554,0.623,0.6054,1.43,Buffered Linear Ingestion
1.5–1.8,40,0.7403,0.3343,0.4325,0.7575,0.4825,1.51,Buffered Linear Ingestion
