shift,nps,strategy,safety,plasticity,stability,throughput,disturb_input,disturb_hidden_1,disturb_hidden_2,disturb_output,buffer_suggested,buffer_factor
0.451,0.5461,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.9013,0.6896,0.3167,100,1.0
1.0952,0.2157,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.6703,0.5464,0.0482,100,1.0
0.4615,0.3531,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.866,0.5951,0.0138,100,1.0
0.9392,0.0755,High-Speed Parallel,low,0.9,0.25,0.95,0.7932,0.3286,0.0754,0.0131,100,1.0
0.1254,0.0453,High-Speed Parallel,low,0.9,0.25,0.95,0.7829,0.4594,0.0328,0.0049,100,1.0
0.6965,0.1066,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.7011,0.2955,0.0105,100,1.0
0.4201,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.6964,0.9359,1.0,1.0,190,1.9
0.0983,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,0.9885,1.0,190,1.9
1.7354,0.8376,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.5761,0.3082,1.0,141,1.41
1.0293,0.081,High-Speed Parallel,low,0.9,0.25,0.95,0.6187,0.3322,0.1201,0.0044,100,1.0
0.6105,0.9934,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,0.2713,188,1.88
0.3523,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.1235,0.3396,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.6708,0.5155,0.1625,0.0375,100,1.0
0.509,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9919,1.0,1.0,1.0,190,1.9
1.7834,0.1816,High-Speed Parallel,low,0.9,0.25,0.95,1.0,1.0,0.3325,0.0656,100,1.0
1.114,0.2003,High-Speed Parallel,low,0.9,0.25,0.95,0.9616,0.7853,0.2253,0.009,100,1.0
0.7693,0.0289,High-Speed Parallel,low,0.9,0.25,0.95,0.8862,0.6341,0.1448,0.0135,100,1.0
1.7516,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.3588,0.6452,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.9519,1.0,0.9806,0.2717,100,1.0
1.3175,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.6583,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.4632,0.107,High-Speed Parallel,low,0.9,0.25,0.95,0.7608,0.693,0.203,0.013,100,1.0
1.271,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.7365,0.7789,1.0,1.0,190,1.9
1.4292,0.2726,High-Speed Parallel,low,0.9,0.25,0.95,0.849,0.8336,0.2593,0.0073,100,1.0
0.4724,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.2538,0.9749,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.8467,1.0,1.0,182,1.82
0.6597,0.2811,High-Speed Parallel,low,0.9,0.25,0.95,0.9768,0.7627,0.5863,0.0116,100,1.0
1.2035,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8769,0.6598,0.4186,1.0,190,1.9
1.7475,0.2831,High-Speed Parallel,low,0.9,0.25,0.95,0.9469,1.0,0.6711,0.1155,100,1.0
1.05,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.6891,0.3626,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.892,0.8118,0.5596,0.093,100,1.0
1.6343,0.5444,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.7324,0.3604,0.0957,100,1.0
1.2235,0.2794,High-Speed Parallel,low,0.9,0.25,0.95,0.8334,0.7602,0.2616,0.0117,100,1.0
1.0982,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8908,1.0,1.0,1.0,190,1.9
0.8833,0.1029,High-Speed Parallel,low,0.9,0.25,0.95,0.6809,0.4962,0.2548,0.0209,100,1.0
1.103,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.3134,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
